pl_name,discoverymethod,pl_rade,pl_bmasse
"Kepler-317 c","Transit",,
"Kepler-1513 b","Transit",8.59400000,48.30991786
"HAT-P-45 b","Transit",,
"KMT-2021-BLG-1898L b","Microlensing",,251.08444153
"HATS-10 b","Transit",12.54305864,
"NGTS-1 b","Transit",,
"Kepler-432 b","Transit",11.95500000,
"Kepler-1181 b","Transit",,
"Kepler-106 d","Transit",1.36000000,
"TOI-3474 b","Transit",14.07350000,
"Kepler-26 d","Transit",1.23000000,
"Kepler-77 b","Transit",12.14160424,
"Kepler-387 b","Transit",1.08000000,
"WASP-75 b","Transit",15.60000000,
"TOI-4914 b","Transit",12.87000000,227.00000000
"Kepler-1408 b","Transit",,
"Kepler-687 b","Transit",,
"WASP-33 b","Transit",18.21793114,
"Kepler-467 b","Transit",,
"K2-42 b","Transit",2.25000000,
"Kepler-81 c","Transit",,
"TOI-237 c","Transit",1.20600000,
"Kepler-31 b","Transit",,
"TOI-1898 b","Transit",9.39553231,129.00000000
"Kepler-1731 b","Transit",2.41600000,
"HD 330075 b","Radial Velocity",,152.55840000
"Kepler-1295 b","Transit",,
"KOI-351 f","Transit",2.88000000,
"Kepler-275 b","Transit",2.25000000,
"Kepler-1812 b","Transit",2.32494240,
"Kepler-1860 b","Transit",0.88000000,
"Kepler-426 b","Transit",11.38000000,
"Kepler-166 c","Transit",,
"Kepler-1516 b","Transit",1.61000000,
"Kepler-1625 b","Transit",11.08000000,
"Kepler-1481 b","Transit",,
"TOI-954 b","Transit",9.05543000,
"TOI-2485 b","Transit",12.19600000,
"WASP-79 b","Transit",20.40038000,267.93069000
"Kepler-1398 c","Transit",,
"Kepler-664 b","Transit",2.71000000,
"Kepler-53 c","Transit",3.57000000,
"Kepler-11 e","Transit",3.98000000,7.00000000
"KMT-2017-BLG-0428L b","Microlensing",,5.59000000
"Kepler-516 b","Transit",5.74000000,
"Kepler-36 b","Transit",,6.41000000
"Kepler-102 f","Transit",,
"Kepler-1416 b","Transit",,
"Kepler-1265 b","Transit",1.30000000,
"Kepler-1685 b","Transit",2.57673985,
"Kepler-1573 b","Transit",1.15000000,
"NGTS-33 b","Transit",18.51530000,
"HD 219666 b","Transit",,
"Kepler-1461 b","Transit",2.02000000,
"Kepler-1990 c","Transit",1.10000000,
"Kepler-125 c","Transit",0.86100000,
"Kepler-834 b","Transit",,
"Kepler-396 b","Transit",3.16800000,
"Kepler-1263 b","Transit",1.14000000,
"Kepler-440 b","Transit",1.47000000,
"Kepler-454 b","Transit",1.82000000,
"Kepler-296 b","Transit",35.25000000,
"Kepler-299 e","Transit",1.87000000,
"Kepler-158 c","Transit",,
"K2-260 b","Transit",,
"TOI-1749 b","Transit",1.39000000,57.00000000
"HAT-P-57 b","Transit",,
"HATS-9 b","Transit",14.42000000,
"Kepler-1453 b","Transit",2.58000000,
"Kepler-406 b","Transit",1.43000000,6.35000000
"HAT-P-16 b","Transit",,
"Kepler-1788 b","Transit",1.97000000,
"OGLE-2016-BLG-1190L b","Microlensing",,4253.00000000
"Kepler-110 b","Transit",2.96000000,
"Kepler-556 b","Transit",2.01300000,
"Kepler-1655 b","Transit",1.94000000,
"Kepler-46 b","Transit",9.05700000,1907.00000000
"Kepler-1215 b","Transit",1.22000000,
"Kepler-309 b","Transit",1.55300000,
"Kepler-1784 b","Transit",3.20000000,
"Kepler-80 g","Transit",1.05000000,0.06500000
"WASP-75 b","Transit",,
"Kepler-346 c","Transit",3.37000000,
"Kepler-434 b","Transit",12.67000000,908.96000000
"Kepler-1417 b","Transit",1.00000000,
"Kepler-1050 b","Transit",1.38000000,
"Kepler-1616 b","Transit",1.33700000,
"Kepler-279 c","Transit",,
"Kepler-26 b","Transit",2.73000000,
"Kepler-968 c","Transit",,
"CoRoT-4 b","Transit",13.33871000,223.43449000
"Kepler-316 b","Transit",1.45100000,
"Kepler-233 c","Transit",,
"Kepler-164 d","Transit",2.20300000,
"Kepler-441 b","Transit",1.56000000,
"Kepler-106 b","Transit",0.79000000,
"NGTS-4 b","Transit",3.18640922,
"EPIC 220674823 b","Transit",1.71000000,8.53000000
"Kepler-1084 b","Transit",1.44000000,
"Kepler-43 b","Transit",12.42500000,
"Kepler-60 c","Transit",2.04900000,3.84000000
"Kepler-1408 b","Transit",,
"Kepler-358 b","Transit",,
"Kepler-339 d","Transit",1.28000000,
"Kepler-684 b","Transit",,
"Kepler-1884 b","Transit",,
"Kepler-1270 b","Transit",3.12000000,
"K2-382 b","Transit",2.77059123,
"Kepler-1998 b","Transit",0.60000000,
"Kepler-117 c","Transit",9.16000000,
"Kepler-286 b","Transit",1.20000000,
"Kepler-988 b","Transit",2.17000000,
"HATS-58 A b","Transit",,
"Kepler-278 c","Transit",3.36000000,
"K2-12 b","Transit",2.18823473,
"TOI-733 b","Transit",1.94753000,
"Kepler-92 d","Transit",2.03000000,
"Kepler-562 b","Transit",6.08900000,
"Kepler-341 d","Transit",1.96000000,
"Kepler-345 c","Transit",1.33000000,
"Kepler-849 b","Transit",8.26000000,
"KMT-2023-BLG-1642L b","Microlensing",,406.82036096
"Kepler-385 c","Transit",2.07000000,
"TOI-1799 b","Transit",1.42238884,4.00000000
"Kepler-828 b","Transit",,
"Kepler-1745 b","Transit",1.67000000,
"Kepler-33 f","Transit",4.14000000,
"Kepler-189 b","Transit",1.21000000,
"Kepler-800 b","Transit",,
"Kepler-1211 b","Transit",2.69000000,
"KOI-13 b","Transit",,
"KOI-351 e","Transit",2.64600000,
"Kepler-965 b","Transit",,
"HD 3765 b","Radial Velocity",,54.98431441
"WASP-181 b","Transit",14.30491762,
"Kepler-1667 b","Transit",,
"Kepler-19 b","Transit",2.53000000,
"Kepler-400 c","Transit",1.49000000,
"HD 72659 b","Radial Velocity",,1001.16450000
"Kepler-1698 b","Transit",180.72000000,
"TOI-1266 b","Transit",2.45800000,15.90000000
"Kepler-960 b","Transit",2.01600000,
"HATS-27 b","Transit",,
"Kepler-852 b","Transit",2.54000000,
"K2-126 b","Transit",2.00000000,
"Kepler-491 b","Transit",9.16000000,
"Kepler-444 e","Transit",0.54600000,
"Kepler-223 e","Transit",,
"Kepler-536 b","Transit",3.07900000,
"HD 10180 d","Radial Velocity",,11.75000000
"Kepler-1330 b","Transit",,
"Kepler-1273 b","Transit",2.59000000,
"Kepler-378 b","Transit",0.98000000,
"Kepler-108 c","Transit",3.40000000,
"TOI-2459 b","Transit",2.93653367,
"WASP-89 b","Transit",11.65736000,1875.19700000
"Kepler-344 c","Transit",2.95000000,
"K2-214 b","Transit",2.43000000,
"K2-415 b","Transit",1.01500000,7.50000000
"Kepler-1813 b","Transit",,
"K2-212 b","Transit",2.39257704,
"Kepler-36 c","Transit",3.96200000,
"Kepler-328 c","Transit",5.40000000,39.40000000
"K2-107 b","Transit",,
"Kepler-1088 b","Transit",,
"HATS-13 b","Transit",13.58530800,172.58169000
"Kepler-1987 c","Transit",1.13000000,
"OGLE-2019-BLG-1470L AB c","Microlensing",,794.57101750
"Kepler-1918 b","Transit",2.57000000,
"Kepler-6 b","Transit",13.38000000,
"Kepler-1137 b","Transit",3.01000000,
"Kepler-1576 b","Transit",1.15000000,
"Kepler-130 d","Transit",1.37000000,
"Kepler-31 b","Transit",5.28000000,
"Kepler-27 b","Transit",4.94000000,
"Kepler-636 b","Transit",,
"Kepler-476 b","Transit",3.08000000,
