#Table1
class,z,dered_r
GALAXY,0.02127545,14.55245
GALAXY,0.02122228,14.55245
GALAXY,0.2139246,17.33205
GALAXY,0.2037833,17.52073
QSO,0.6521814,19.28379
QSO,0.6524171,19.28379
GALAXY,0.1265536,17.18082
GALAXY,0.06465632,16.50649
GALAXY,0.4486449,19.49395
QSO,2.831786,19.17614
GALAXY,0.05598787,
GALAXY,0.05265425,17.72428
QSO,6.344374,
GALAXY,0.2138606,17.33205
GALAXY,0.09063296,16.25787
QSO,1.705527,
QSO,2.830591,19.17614
GALAXY,0.4482199,19.49395
GALAXY,0.08933747,17.24904
GALAXY,0.3711277,18.41305
GALAXY,0.2037688,17.52073
GALAXY,0.1212705,16.65466
GALAXY,0.06502353,16.80558
GALAXY,0.05598059,
GALAXY,0.1213164,16.65466
GALAXY,0.09708638,17.44814
GALAXY,0.06477907,
GALAXY,0.06477667,
GALAXY,0.05265867,17.72428
GALAXY,0.1265899,17.18082
GALAXY,0.06458879,16.50649
GALAXY,0.06495924,16.80558
GALAXY,0.3712488,18.41305
GALAXY,0.08429205,17.42464
GALAXY,0.08439621,17.42464
GALAXY,0.08931196,17.24904
GALAXY,0.09704147,17.44814
GALAXY,0.0906017,16.25787
GALAXY,0.7642166,17.79567
GALAXY,0.09031707,16.47397
GALAXY,0.3276411,18.66527
GALAXY,0.2156694,17.55171
GALAXY,0.2156489,17.55171
GALAXY,0.242001,17.70307
GALAXY,0.2422717,17.70307
GALAXY,0.1346802,17.30816
GALAXY,0.1348305,17.30816
GALAXY,0.1314682,17.17534
GALAXY,0.006282841,16.54083
GALAXY,0.2040574,17.32523
QSO,6.695688,
GALAXY,0.006282213,16.54083
GALAXY,0.1336352,16.93885
GALAXY,0.04809635,15.35553
GALAXY,0.08419658,16.8131
GALAXY,0.3275724,18.66527
GALAXY,0.08410355,16.8131
GALAXY,0.1314801,17.17534
GALAXY,0.09024068,16.47397
GALAXY,0.04808582,15.35553
GALAXY,0.2042369,17.32523
QSO,1.08138,
GALAXY,0.1337304,16.93885
GALAXY,0.3829364,19.34117
GALAXY,0.3834088,19.34117
GALAXY,0.1232099,17.79567
GALAXY,0.06518305,16.134
QSO,2.29797,20.2299
GALAXY,0.09755617,19.05361
GALAXY,0.09757023,19.05361
GALAXY,0.06075863,17.70697
GALAXY,0.1548131,22.81139
GALAXY,0.1274091,17.06959
GALAXY,0.1548876,22.81139
GALAXY,0.1404723,17.17902
GALAXY,0.1403996,17.17902
QSO,2.282788,20.2299
GALAXY,0.06522541,16.134
QSO,3.036635,18.77716
GALAXY,0.08926281,16.98703
GALAXY,0.06490172,15.35928
QSO,1.473754,19.16357
GALAXY,0.2058383,17.71411
GALAXY,0.08930188,16.98703
QSO,3.035727,18.77716
GALAXY,0.06492077,15.35928
GALAXY,0.1146793,17.17182
GALAXY,0.1275079,17.06959
GALAXY,0.0606144,17.70697
GALAXY,0.2059107,17.71411
GALAXY,0.3709125,
QSO,1.186942,
QSO,1.473592,19.16357
GALAXY,0.2711041,17.71071
GALAXY,0.371149,
GALAXY,0.1146981,17.17182
GALAXY,0.2711954,17.71071
GALAXY,0.1315531,16.68861
GALAXY,0.1246121,17.23464
GALAXY,0.06515202,16.87307
GALAXY,0.05654794,16.80871
GALAXY,0.05661002,17.77526
GALAXY,0.454208,19.69256
GALAXY,0.1307285,17.75139
GALAXY,0.08326827,17.63401
GALAXY,0.06510994,16.87307
GALAXY,0.08395144,17.57817
GALAXY,0.05656198,17.77526
QSO,2.707267,
QSO,0.4432886,
GALAXY,0.05657594,16.80871
GALAXY,0.08389291,17.57817
GALAXY,0.08362591,15.49355
GALAXY,0.08376556,15.49355
GALAXY,0.1245161,17.23464
GALAXY,0.1253916,17.64552
GALAXY,0.02200466,17.68005
GALAXY,0.02196459,17.68005
GALAXY,0.06211357,16.23439
GALAXY,0.1249016,17.02362
QSO,1.771911,18.90817
GALAXY,0.1314198,16.68861
GALAXY,0.0624477,17.55116
GALAXY,0.1308193,17.75139
GALAXY,0.3707639,18.90989
GALAXY,0.370904,18.90989
GALAXY,0.08316904,17.63401
GALAXY,0.1260304,16.32306
GALAXY,0.1254254,17.64552
